neighborhood,address,housing_units,min_issued_month,min_issued_year
Bluff,"2120 5TH AVE  414, PITTSBURGH, PA 15219",51,2,2024
Terrace Village,"10 TURRENTINE PL  208, PITTSBURGH, PA 15213",59,8,2023
Terrace Village,"239 BLAKEY CT  306, PITTSBURGH, PA 15213",81,8,2023
Bluff,"1045 FORBES AVE, PITTSBURGH, PA 15219",216,5,2023
Central Northside,"810 W NORTH AVE, PITTSBURGH, PA 15233",36,12,2022
Strip District,"3205 PENN AVE  634, PITTSBURGH, PA 15201",112,7,2021
North Oakland,"419 MELWOOD AVE, PITTSBURGH, PA 15213",148,1,2022
East Liberty,"205 N BEATTY ST  417, PITTSBURGH, PA 15206",42,11,2021
Polish Hill,"3234 LIBERTY AVE, PITTSBURGH, PA 15201",377,7,2019
Central Oakland,"3510 FORBES AVE, PITTSBURGH, PA 15213",296,8,2021
East Liberty,"200 AMBER ST  104, PITTSBURGH, PA 15206",30,7,2021
California-Kirkbride,"1144 KIRKBRIDE ST  411, PITTSBURGH, PA 15212",30,7,2021
Lower Lawrenceville,"3350 PENN AVE, PITTSBURGH, PA 15201",35,6,2020
Garfield,"327 N NEGLEY AVE  233, PITTSBURGH, PA 15206",45,6,2021
Strip District,"2635 PENN AVE  508, PITTSBURGH, PA 15222",49,3,2021
Crawford-Roberts,"1709 5TH AVE  101, PITTSBURGH, PA 15219",51,2,2021
Central Business District,"908 PENN AVE, PITTSBURGH, PA 15222",25,12,2020
Central Business District,"700 2ND AVE  533, PITTSBURGH, PA 15219",43,11,2020
South Side Flats,"2695 SOUTH WATER ST  206, PITTSBURGH, PA 15203",247,8,2022
Strip District,"2554 SMALLMAN ST, PITTSBURGH, PA 15222",26,6,2020
South Side Flats,"1700 E CARSON ST, PITTSBURGH, PA 15203",47,10,2019
Squirrel Hill North,"5093 FORBES AVE, PITTSBURGH, PA 15213",37,5,2020
South Side Flats,"2984 SIDNEY ST, PITTSBURGH, PA 15203",280,4,2019
Central Business District,"625 STANWIX ST, PITTSBURGH, 15222",137,2,2020
Larimer,"135 WINSLOW ST, PITTSBURGH, PA 15206",35,12,2019
Lower Lawrenceville,"3931 FOSTER ST, PITTSBURGH, PA 15201",343,11,2019
Central Northside,"840 W NORTH AVE, PITTSBURGH, 15233",35,11,2019
Strip District,"2239 RAILROAD ST, PITTSBURGH, 15222",220,5,2020
Central Business District,"314 4TH AVE, PITTSBURGH, PA 15222",150,10,2019
Central Northside,"30 W NORTH AVE, PITTSBURGH, PA 15212",45,9,2019
Squirrel Hill South,"5559 HOBART ST, PITTSBURGH, PA 15217",24,8,2019
Lower Lawrenceville,"3725 BUTLER ST, PITTSBURGH, PA 15201",24,12,2018
Lower Lawrenceville,"3927 BUTLER ST, PITTSBURGH, PA 15201",243,12,2016
Central Business District,"625 1ST AVE, PITTSBURGH, PA 15219",34,7,2019
Northview Heights,"1306 CHICAGO ST, PITTSBURGH, PA 15214",43,6,2019
Strip District,"2908 SMALLMAN ST, PITTSBURGH, PA 15201",30,8,2019
Central Business District,"352 OLIVER AVE, PITTSBURGH, PA 15222",59,6,2019
Homewood South,"7002 KELLY ST, PITTSBURGH, 15208",20,6,2019
East Liberty,"5820 STATION ST, PITTSBURGH, PA",24,5,2019
North Oakland,"4614 5TH AVE, PITTSBURGH, PA 15213",231,5,2019
Central Business District,"209 9TH ST, PITTSBURGH, PA 15222",44,3,2019
South Side Flats,"1611 E CARSON ST, PITTSBURGH, PA 15203",23,5,2018
Central Business District,"800 PENN AVE, PITTSBURGH, PA 15222",42,10,2018
Central Business District,"945 PENN AVE, PITTSBURGH, PA 15222",182,8,2018
Squirrel Hill South,"2609 MURRAY AVE, PITTSBURGH, PA 15217",33,5,2018
Bluff,"1450 5TH AVE, PITTSBURGH, PA, 15219",29,4,2018
Squirrel Hill North,"1055 MOREWOOD AVE, PITTSBURGH, PA 15213",43,4,2018
Strip District,"1679 WATERFRONT PL, PITTSBURGH, PA 15222",178,5,2019
Crawford-Roberts,"328 MILLER ST, PITTSBURGH, PA 15219",36,2,2018
Fineview,"1660 SANDUSKY CT, PITTSBURGH, PA 15212",51,12,2017
South Shore,"160 E STATION SQUARE DR, PITTSBURGH, PA",319,11,2017
Crawford-Roberts,"621 CRAWFORD ST, PITTSBURGH, PA 15219",20,10,2017
East Liberty,"6434 STATION ST, PITTSBURGH, PA 15206",45,9,2017
Shadyside,"6480 LIVING PL, PITTSBURGH, PA 15206",175,7,2017
Central Business District,"425 FORBES AVE, PITTSBURGH, PA 15219",311,7,2017
West Oakland,"2520 WADSWORTH ST, PITTSBURGH, PA 15213",25,6,2017
Central Oakland,"3423 FORBES AVE, PITTSBURGH, PA 15213",197,6,2017
East Liberty,"6251 BROAD ST, PITTSBURGH, PA 15206",46,5,2017
Central Business District,"319 3RD AVE, PITTSBURGH, PA 15222",90,5,2017
Shadyside,"4716 ELLSWORTH AVE, PITTSBURGH, PA 15213",190,3,2017
South Side Flats,"2626 TUNNEL BLVD, PITTSBURGH, PA 15203",264,10,2015
Shadyside,"340 S HIGHLAND AVE, PITTSBURGH, PA 15206",36,11,2016
North Oakland,"540 N NEVILLE ST,  602, PITTSBURGH, PA 15213",43,10,2016
Strip District,"1759 WATERFRONT PL, PITTSBURGH, PA 15222",264,5,2019
North Oakland,"4500 CENTRE AVE, PITTSBURGH, PA 15213",326,7,2016
South Side Flats,"711 S 21ST ST, PITTSBURGH, PA 15203",76,8,2015
South Side Flats,3030 S SOUTH WATER ST,56,10,2014
Friendship,"5522 BAUM BLVD, PITTSBURGH",127,6,2016
Squirrel Hill South,"6350 FORWARD AVE, PITTSBURGH, PA 15217",24,4,2016
Central Business District,"112 WASHINGTON PL, PITTSBURGH, PA 15219",174,4,2016
Strip District,"1627 PENN AVE, PITTSBURGH, PA 15222",72,6,2018
East Liberty,"5600 PENN AVE, PITTSBURGH, PA 15206",314,2,2016
Troy Hill,"950 PROGRESS ST, PITTSBURGH, PA 15212",151,1,2016
Terrace Village,"1802 BENTLEY DR, PITTSBURGH, PA 15219",54,12,2015
Larimer,"213 LARIMER AVE, PITTSBURGH, PA 15206",28,12,2015
East Liberty,"5719 E LIBERTY BLVD, PITTSBURGH, PA 15206",26,12,2015
Central Business District,"429 FORBES AVE, PITTSBURGH, PA 15219",174,12,2015
Bluff,"1030 5TH AVE, PITTSBURGH, PA 15219",35,11,2015
Central Business District,"50 MARKET SQ, PITTSBURGH, PA 15222",80,11,2015
South Side Flats,"2915 SIDNEY ST, PITTSBURGH, PA, 15203",117,6,2014
Strip District,"2545 PENN AVE, PITTSBURGH, PA 15222",32,3,2018
South Oakland,"3333 FORBES AVE, PITTSBURGH, PA 15213",389,10,2015
Shadyside,"177 S HIGHLAND AVE, PITTSBURGH, PA 15206",109,10,2015
Crawford-Roberts,"1655 5TH AVE, PITTSBURGH, PA 15219",74,9,2015
Lower Lawrenceville,"181 39TH ST, PITTSBURGH, PA 15201",32,6,2016
Central Lawrenceville,"4107 WILLOW ST, PITTSBURGH, PA 15201",182,2,2016
Strip District,"1909 WATERFRONT DR, PITTSBURGH, PA 15222",364,7,2016
Bloomfield,"4800 PENN AVE, PITTSBURGH, PA 15224",39,9,2015
Shadyside,"6454 LIVING PL, PITTSBURGH, PA 15206",175,9,2015
Strip District,"2419 SMALLMAN, PITTSBURGH, PA 15222",38,10,2015
Strip District,"2645 RAILROAD ST, PITTSBURGH, PA 15222",299,9,2015
Central Lawrenceville,"4001 WILLOW ST, PITTSBURGH, PA 15201",191,8,2015
East Liberty,"111 S HIGHLAND AVE, PITTSBURGH, PA 15206",78,8,2015
Central Business District,"433 FORT PITT BLVD, PITTSBURGH, PA 15222",98,8,2015
Central Business District,"911 PENN AVE, PITTSBURGH, PA 15222",33,1,2015
Shadyside,6230 PENN AVE,350,10,2014
South Side Flats,"930 E CARSON ST, PITTSBURGH, PA 15203",76,5,2012
Upper Lawrenceville,"5267 HOLMES ST, PITTSBURGH, PA 15201",20,8,2015
Bloomfield,5250 LIBERTY AVE,213,5,2014
Crawford-Roberts,"2076 5TH AVE, PITTSBURGH, PA, 15219",23,12,2013
Crawford-Roberts,"2015 5TH AVE, PITTSBURGH, PA, 15219",24,12,2013
Bluff,"1819 FORBES AVE, PITTSBURGH, PA 15219",43,6,2013
Shadyside,"430 SHADY AVE, PITTSBURGH, PA 15206",20,3,2013
Mount Washington,"200 COWAN ST, PITTSBURGH, PA, 15211",80,2,2013
East Liberty,"5800 PENN AVE, PITTSBURGH, PA 15206",52,2,2013
Central Business District,526 PENN AVE,72,12,2012
Squirrel Hill South,"1823 PARKVIEW BLVD, PITTSBURGH, PA 15217",40,6,2012
Squirrel Hill South,"1843 PARKVIEW BLVD, PITTSBURGH, PA 15217",40,6,2012
Squirrel Hill South,"1875 PARKVIEW BLVD, PITTSBURGH, PA 15217",50,6,2012
